strDate,Negative,Positive,Overall,ticker,open,adjusted_close
2021-03-08,778.0,439.0,-339.0,$AAPL,120.93,116.36
2021-03-09,667.0,465.0,-202.0,$AAPL,119.03,121.085
2021-03-10,637.0,429.0,-208.0,$AAPL,121.69,119.98
2021-03-11,573.0,357.0,-216.0,$AAPL,122.54,121.96
2021-03-12,529.0,389.0,-140.0,$AAPL,120.4,121.03
2021-03-13,269.0,136.0,-133.0,$AAPL,120.4,121.03
2021-03-14,324.0,179.0,-145.0,$AAPL,120.4,121.03
2021-03-15,614.0,417.0,-197.0,$AAPL,121.41,123.99
