strDate,Negative,Positive,Overall,ticker,open,adjusted_close,dailyChange
2021-05-21,477.0,269.0,-208.0,$AAPL,127.82,125.43,2.3899999999999864
2021-05-22,160.0,102.0,-58.0,$AAPL,127.82,125.43,
2021-05-23,219.0,167.0,-52.0,$AAPL,127.82,125.43,
2021-05-24,419.0,257.0,-162.0,$AAPL,126.01,127.1,-1.0899999999999892
2021-05-25,394.0,279.0,-115.0,$AAPL,127.82,126.9,0.9199999999999875
2021-05-26,448.0,296.0,-152.0,$AAPL,126.955,126.85,0.10500000000000398
2021-05-27,448.0,326.0,-122.0,$AAPL,126.44,125.28,1.1599999999999966
2021-05-28,569.0,356.0,-213.0,$AAPL,125.57,124.61,0.9599999999999937
